Timestamp,Action,Symbol,Price,Lot_Size,Magic_Number,Result
2026-06-03T17:04:04.384040,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:04.547039,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:04.654039,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:04.761039,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:04.870038,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:04.978038,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:05.088038,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:05.194037,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:05.302037,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:05.532036,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:05.645036,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:05.751036,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:05.870035,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:06.009035,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:06.117035,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:06.230035,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:06.427034,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:06.537034,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:06.647033,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:06.760033,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:06.877033,BUY,EURUSD,1.162,0.1,777777,FAILED: 10040
2026-06-03T17:04:07.128032,SELL,EURUSD,1.16198,0.1,777777,FAILED: 10040
2026-06-03T17:04:07.237032,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:07.350031,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:07.464031,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:07.571031,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:07.684031,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:07.797030,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
2026-06-03T17:04:08.002030,BUY,EURUSD,1.16201,0.1,777777,FAILED: 10040
2026-06-03T17:04:08.110029,SELL,EURUSD,1.16199,0.1,777777,FAILED: 10040
