Price,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,JPM
Ticker,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^N225,^HSI,000001.SS,^BSESN,^KS11,^BVSP,^GSPTSE,^AXJO,^STOXX50E,EURUSD=X,GBPUSD=X,USDJPY=X,AUDUSD=X,USDCAD=X,USDCHF=X,NZDUSD=X,^TNX,^IRX,^TYX,ES=F,NQ=F,ZN=F,ZB=F,CL=F,GC=F,SI=F,HYG,LQD,^VIX,JPM
2007-05-11,0.00959532,0.00837113,0.01117759,0.01323909,0.00635613,0.00859504,0.00627854,-0.01038472,-0.01349345,-0.00694381,0.00180864,0.00242255,0.01319022,0.01081970,-0.00918375,0.00707885,0.00280841,0.00156512,0.00291636,0.00912339,0.00170898,-0.00139468,0.01023476,0.00472212,-0.00105981,0.00413309,0.00863362,0.01264173,-0.00159063,-0.00224341,0.00901919,0.00823543,0.01295257,0.00056751,-0.00102580,-0.04897405,0.00288050
2007-05-14,-0.00179458,0.00154168,-0.00617778,-0.00872951,-0.00155477,-0.00264142,-0.00400926,0.00705157,0.02466039,0.00612642,0.01222550,0.00137721,-0.00771108,-0.00720250,0.00754604,-0.00211607,0.00162376,-0.00182247,0.00108101,-0.00074964,-0.00603963,0.00041046,0.00368075,0.00427351,-0.00318648,0.00226597,-0.00231711,-0.00748674,-0.00115841,-0.00168587,0.00144196,-0.00313640,-0.00516090,-0.00009531,-0.00102829,0.07510033,-0.00615561
2007-05-15,-0.00130483,0.00277282,-0.00834036,-0.00996033,0.00201158,0.00611300,0.00386544,-0.00937516,-0.00530930,-0.03705989,-0.00261911,-0.01026570,0.00013857,0.00224872,-0.00853101,0.00616836,0.00390805,0.00348935,-0.00083145,0.00149971,-0.00716849,-0.00318084,0.00081165,0.00467983,-0.00212987,0.00492605,-0.00016571,-0.00674650,-0.00144991,-0.00225225,0.01130314,0.00670893,0.00637135,-0.00075619,-0.00224481,0.00357528,0.00385169
2007-05-16,0.00858954,0.00771758,0.00872513,0.00736677,-0.00140159,-0.00321622,-0.00527851,0.00091431,0.00330624,0.02203325,0.01411308,0.00704084,0.02386281,0.00646652,0.00054028,-0.00415398,-0.00531548,-0.00433997,0.00415042,-0.01012119,0.00454298,0.00613069,-0.00640109,-0.00084920,-0.01720471,-0.00204955,0.00627790,0.00937982,0.00000000,0.00056354,-0.00986325,-0.01920249,-0.02938563,0.00264806,0.00233834,-0.03708169,0.01809411
2007-05-17,-0.00091844,-0.00080184,-0.00316114,-0.00557513,0.00301395,0.00243646,0.00150933,-0.00173580,0.00273537,0.01549630,0.01212948,0.00931545,-0.00207025,0.00538300,0.01126347,0.00000000,-0.00199950,-0.00132402,0.00471880,-0.00230851,-0.00354169,0.00401745,-0.00439078,0.01014376,0.01078753,0.00796980,-0.00181324,-0.00580247,-0.00305166,-0.00451723,0.03626489,-0.00607720,-0.00288516,-0.00028285,-0.00299561,0.00074048,-0.00795845
2007-05-18,0.00658872,0.00590464,0.00748168,0.00978469,0.00931915,0.01430351,0.01222629,-0.00567478,-0.00428500,-0.00446490,0.00025873,-0.00206328,0.00862033,0.00032614,-0.00842381,0.01307154,0.00118839,0.00025676,-0.00190635,0.00074145,-0.00913915,-0.00009783,0.00043825,0.01004190,0.00535049,0.00891590,0.00837925,0.00816654,-0.00291503,-0.00453773,0.00123269,0.00728820,0.00932697,0.00028285,-0.00281546,-0.05711487,-0.00038114
2007-05-21,0.00154205,-0.00100743,0.00791872,0.01205589,-0.00061759,0.00154596,-0.00184233,0.00899920,0.00109533,0.01035915,0.00802103,0.00984436,0.00660283,0.00000000,0.00891068,-0.00341369,-0.00348027,-0.00187471,0.00338106,-0.00304464,-0.00377130,0.00236070,0.00014604,-0.00333607,0.00532201,-0.00323294,0.00000000,0.00549452,0.00087540,0.00142025,0.02027345,0.00287035,0.01008364,0.00094465,0.00131546,0.04144875,0.00038114
2007-05-22,-0.00064277,-0.00021635,0.00357280,0.00749295,-0.00456073,0.00524654,-0.00003119,0.00699165,-0.00401373,0.00932566,0.00243279,0.00897572,-0.00410969,0.00048909,-0.00475303,0.00097138,-0.00103638,0.00177603,0.00139853,-0.00172392,0.00202531,-0.00016266,-0.00466505,0.00894064,0.01370608,0.00846434,-0.00180136,0.00208523,-0.00248230,-0.00455193,-0.01981161,-0.00574896,-0.01062533,0.00009445,-0.00319617,-0.01820989,-0.00515071
2007-05-23,-0.00120796,-0.00105668,-0.00424776,-0.00403232,0.00148224,0.00993687,0.00499267,0.00141689,-0.00215880,0.01528987,-0.00627826,0.00225566,-0.00759466,0.00214476,0.00256821,0.00664696,0.00044405,0.00564498,-0.00098703,0.00336846,-0.00377790,-0.00179066,0.00298602,0.00577924,-0.00209648,0.00620191,0.00016389,-0.00522126,-0.00160948,-0.00314151,0.01223811,0.00423929,0.00893897,-0.00075527,-0.00094301,0.01368838,-0.00575394
2007-05-24,-0.00974994,-0.00626851,-0.01530054,-0.01534654,-0.00772273,-0.00498923,-0.01181590,-0.00046034,0.00000000,-0.00542382,-0.01015701,0.00000000,-0.02505407,-0.01397022,-0.01203098,-0.01049779,-0.00208385,-0.00045677,-0.00133396,-0.00541687,0.00101505,0.00000000,-0.00603564,-0.00041176,0.00000000,-0.00119737,-0.00921969,-0.01489908,-0.00014645,0.00028600,-0.02447212,-0.01353739,-0.01413858,0.00028375,0.00122549,0.06151281,-0.00772345
